Parametric Final Value,Bootstrap Final Value
10281.091760120065,11128.700163765348
11347.892856054352,11988.986748276797
11956.872116023487,14591.522022174426
12152.246739542117,9805.971365308986
11126.519553969474,12528.796209368138
11236.737614271335,10706.633897735654
12432.732985572187,12388.745329590545
7955.097761003991,13250.403133428834
8763.617082936496,11706.249313655146
10485.296572828744,11601.192590864628
11444.480519666802,10701.890995450065
8371.827646516344,10779.783856832259
10771.039616637723,9299.656679007141
11070.164817248256,10774.065264417202
9329.154127298354,13843.60877535069
13099.30321032217,10165.636530893147
10204.434894744265,12752.785326600175
12559.705160971953,11746.726525343025
12871.71061843365,10723.519147600742
10153.614920889915,16269.803882141725
8486.045678947492,13832.10288900193
10761.080807363778,12816.038356482864
9349.063267781288,8615.140453211186
8137.785065458131,10778.71730802237
10363.773902106268,10696.655117484963
9694.450099941732,12605.679872796416
13731.428316993803,12627.334474765757
10215.682975381691,10320.141737733693
12673.062386022752,12852.312994906812
11148.272613504636,10903.733926610592
13894.259714469743,10681.586118204174
13023.217292703335,9648.808772944794
13781.883701111996,12627.755832783887
12635.17426866753,12871.918535558814
10847.676414416514,10981.70130389875
14271.211816038202,9726.188877605762
10466.685926065036,10915.729359550185
14424.685030413819,10171.914090483451
10981.879207903961,13634.066527721136
11220.938023797902,12441.669614264008
10855.608629667824,10457.802914731195
12872.430828895383,9629.217153173031
9757.910650897737,10929.264059517043
10699.359422007023,12314.787467893706
13770.44192071587,9493.194467383702
11190.034606814452,12752.95422778738
13258.456701918876,11342.742759818353
9547.121668540542,11695.496006674122
10558.656427581152,10894.859287643121
9520.639648372906,10523.44917098911
12101.710226046136,12114.718207955793
9392.850497970716,12489.074090206064
11521.286798644256,12322.32762113062
12583.791872025573,11802.960101361728
12271.338239390283,11377.221365859064
11798.737892332374,10698.52738298332
12016.531571558016,11331.43305704336
11092.730339540458,10673.374562932742
9476.279958992287,10046.612972372537
13477.903925268802,15064.861866947811
10069.589248020198,11731.542833584237
12868.825167197974,14136.777757306127
8027.153912543827,7984.630049173071
9231.508079973859,13711.553959258426
11304.815981535787,12625.887561148757
11633.74103224058,11900.47961114228
11198.33863005002,10877.64924847467
9864.07792838576,11071.585408574909
9456.655392443949,12909.8537813785
12912.99624022581,11728.236095069571
16143.53692377274,10374.451344232035
14271.495880431461,12251.149461885962
14596.828335042495,13714.420275968154
10146.676337162944,10317.236155605793
8149.197766259921,9946.583655423963
9649.123485930553,12394.156419073472
12650.083417990025,11820.280389139078
10684.321009711479,10186.905488632214
14472.150219909077,13681.948147097535
12597.085753884572,10957.30852066027
11036.340972714743,11527.518556599587
11178.368214026666,13767.084227120084
9969.885730774064,11180.822257091784
11142.144532235643,12686.79457090112
13205.78670496276,9969.598561959618
12844.105039973389,11825.97883485571
9369.96868381294,9521.5370752633
11663.687430450227,12356.483061355677
11170.03925942498,11142.092054197801
10867.935506523803,10842.654821513275
7826.133706543515,11958.139395328702
11423.911835198094,11912.279122702992
11061.558203217533,13592.78996609107
8628.611517096642,10413.044036838717
12162.531064751016,10742.553866801985
17748.041561421156,13898.970661369449
12003.58085506892,11109.354973288499
12020.195199292348,9243.809544663049
10714.310894808272,12236.478685233636
10183.2413818819,10667.831871047412
11214.665567111979,11026.127200395918
11653.353014732562,12417.52305299999
10351.697418782485,12039.075072171518
10993.05967135091,12660.27112102591
12236.39182815348,12479.75709277781
12286.964001781593,14646.828225274032
12076.797244193749,13070.305098847113
14442.965883815315,9586.045058904287
10761.684224305725,11870.007949995954
14400.67740348871,13498.207240032205
10274.881338427977,10109.665859657474
12893.447766138974,9137.085990560761
10192.261947550762,15296.621916982149
11283.833323188559,13288.898458980075
10843.75511659573,11681.760688017835
10249.236426987813,12041.332600519254
13377.245841070804,10410.335109149846
11487.251990543173,10138.175244212847
8836.516640324104,9825.953867711407
13700.82261007935,11206.567132452052
10765.882959583007,13073.091179518065
11039.79650297775,11568.857993442665
10655.02196233723,10163.325415088406
11459.562722305987,12105.976911618593
14447.891576327025,12862.795544528974
9722.290757932975,17170.503871047735
10546.15597487084,11306.68782036936
9289.83697102056,9117.99772498788
12182.109304455249,12953.198129325294
13269.6625077815,12633.729357217018
8418.636910405316,11184.906174305766
12573.80585573209,8928.608081259972
9295.640661473319,14964.826626325275
9256.05284709818,9844.874806398955
14049.726715961438,10992.399603568405
11306.159869149484,9064.276526179003
9714.960281487824,11413.549438246544
10721.449868976682,11610.645964472384
11038.448548192031,7739.484486520172
11349.123481381934,11647.91778809708
12024.123117539593,11455.333488621607
13275.724434260683,6606.290769794694
9392.113009246983,15390.559035673337
14241.981130199729,9472.838036666551
10009.220357147657,17287.99139188571
10878.474239561701,9479.744542376797
10931.067482262568,10639.510822569433
10215.255038180867,15948.57912560507
12601.177825157198,10115.491802502884
11142.845255659673,10610.746645460402
9863.50771204479,10054.003169997563
12525.49213401188,11913.854796471682
9428.758219643678,12675.922984243309
9054.87061305334,8119.507834647016
10196.47082037719,10919.195503648183
10367.904041327181,11913.877975530055
10966.37450240755,8561.680112472459
11825.098721492748,12112.860281031812
11168.766054526739,15227.97735585421
12404.651355367188,11490.27747089378
11290.13422344837,12414.096478217385
12711.642305278432,12888.473775141638
14354.496723896289,8858.569727517228
9837.60608592681,12204.523362476231
11611.850042113261,13224.877223830521
9595.098110737019,10962.75636398206
10281.031153183307,13478.48658721437
11469.377616829812,8062.521227473452
10691.296739615575,10056.452153310269
10886.067437834321,10940.542656727197
13332.176312307087,12664.457569854987
12550.979202580644,10843.310159156485
10183.986059768187,12164.933011973102
11399.61433994946,12690.977058102253
11859.338618909436,8121.176106311462
10635.954416621267,11302.343240427246
11519.656567283326,11442.62086052187
14058.368784333135,9547.92439360958
13502.440347521617,13309.911243237142
10871.187290782425,12289.204034444447
13451.928162667697,10347.598645277443
11705.38262470255,7846.444245222783
11953.52543251865,12148.178627196376
13193.250886577913,12967.64121339039
9119.228450147773,10388.713514934969
15536.335696204595,10113.183916607897
16108.53221615144,12117.888106296115
8688.469241758188,12587.83510351289
9753.055289313357,11076.690776974214
12054.807660087963,10655.876910175293
11604.443820856943,12272.08742960477
8111.126341734624,10545.672153984618
13534.228556598133,11536.150404285574
8048.74250669867,12379.067765037413
11995.06722420029,10576.47441843109
13423.504804784374,12023.034066442904
11122.307157404211,11198.242238355813
12064.038261687607,13258.894557610012
14232.25942750964,10383.551767123636
12458.97964001945,9377.6822433143
11153.546215495771,14873.274534789383
15238.911398515482,9268.282196489297
11663.904538277646,11213.820435294188
13627.602247913132,11322.206390274689
10694.124701800323,11658.295851005618
8833.112131603566,10482.587433827404
8385.433202290671,7674.374830042942
11950.16279262684,10038.92824979153
9427.26553244651,10350.989275439051
12352.757688038424,11333.189391094427
9688.361618887198,10405.3852850394
13474.394169564386,13337.598254616996
14095.752587491908,11631.674175748123
11205.181630004297,12918.800701785663
10167.887549050816,10612.44878366477
10170.442938412745,12484.27064825051
11134.106374584379,10391.470437748798
11765.903316388114,13943.371073938555
11543.734339402958,9684.25450349527
13660.090645951102,9228.30117385799
10874.523482783407,10485.961221329328
11210.076546930944,11095.692471332677
12062.205323188227,10000.98622350486
11003.815470719726,10545.6315154144
10541.642230263535,10114.19206914233
13296.929110372917,8191.706608743395
16345.67029064742,11552.401622770356
10633.73538455501,10773.748880626723
10969.624067022585,10764.490435451004
14381.895368639134,11021.564381826962
13768.589057895528,12441.292780953674
12444.285084943323,10956.858347157806
10814.081766138774,11106.703919020742
8231.387620430096,11740.291421327043
11882.86046813814,12096.797416120342
12715.977366399682,15508.929849870814
11558.454758804508,11682.818590252813
9647.78301293578,12695.968068269707
12050.204082360346,9658.087308280059
10830.073773678298,10424.448776230378
11649.03434492671,11133.813066754048
13381.814299517342,12842.924545723652
11432.96602186494,11000.861471111692
12761.919819982806,11960.146321542037
12451.64220833322,11684.612472353467
14691.0683989801,11798.488238202935
12537.302743578955,7482.30638772467
10370.363477551837,8357.637691953101
12513.560194011516,14189.228571444275
9239.16132549649,11521.190915069257
10202.774360543122,11875.741393521495
13444.370823331588,13547.445582522823
10403.140936253625,7604.676735870244
13786.71587869259,8840.337518844779
11042.809477316696,11919.068421546726
10278.570239144563,12692.535913289377
14650.764354971336,9149.887864512972
13403.14384324774,14211.155620003441
14414.313778423953,8747.548674901796
8553.314472803486,11154.171879983403
11458.446413251786,12618.826322481846
11083.011694103501,8464.433553386987
12362.858864539856,11102.183648582331
12260.244851213572,12928.142646376575
11140.878993187991,12258.522951549508
10951.165814489363,12864.592273444254
16728.723932602137,13200.869219283804
10638.502391337772,11434.425381063273
9066.69655386163,12361.043935458485
11162.031550619926,12368.206080569384
12210.234332552955,8936.637300122826
13996.778730265696,10974.039686990864
14167.121357052258,13163.565504566166
14363.950426070436,8199.377935264476
12350.068468857946,11072.40595443426
12439.62713818787,8862.31041871471
14613.57965017803,13005.843781247704
7976.952440845525,10594.693760590082
11715.79265367982,9329.440143666581
9342.2341552628,13327.82880539807
16071.713120144495,11021.725207314985
11897.562846687944,8930.800430794234
9862.245523268086,12342.44770331869
13171.121757279949,13502.765615056225
9905.548840861773,9945.374517123651
11638.638017833226,11174.151088180499
19475.145303992314,11891.267417868952
12974.784905150676,8617.558594922737
9881.376394734767,14673.979710531565
13119.415509512333,13324.19888975889
13133.77675495412,14597.550534179476
10992.663181138147,11172.22013624752
11038.02634140927,11107.07326219241
