Date,Portfolio
2021-09-17,0.7495741769335931
2021-09-20,0.7357885586423922
2021-09-21,0.7388653541587712
2021-09-22,0.7366613568767745
2021-09-23,0.7263623023283164
2021-09-24,0.7299378755374172
2021-09-27,0.7306581680254707
2021-09-28,0.7513704731558697
2021-09-29,0.7493248759778371
2021-09-30,0.7293705215977156
2021-10-01,0.7283472356827463
2021-10-04,0.7336167600427808
2021-10-05,0.7307100356840338
2021-10-06,0.7289688324113378
2021-10-07,0.7276497061269633
2021-10-08,0.7285027022562519
2021-10-11,0.7275319954932169
2021-10-12,0.7236261966703813
2021-10-13,0.7162591531513408
2021-10-14,0.7197818858755828
2021-10-15,0.714288088850336
2021-10-18,0.7168236231122849
2021-10-19,0.7126847542364488
2021-10-20,0.7106241516498552
2021-10-21,0.7116572684482925
2021-10-22,0.7112459002971289
2021-10-25,0.7119794446616695
2021-10-26,0.7119018700114532
2021-10-27,0.7089727514773718
2021-10-28,0.7081768246014541
2021-10-29,0.7084791881467276
2021-11-01,0.7048961267354508
2021-11-02,0.7050711271648289
2021-11-03,0.7017368690778131
2021-11-04,0.7051865911811432
2021-11-05,0.6947945365611791
2021-11-08,0.6960953364484146
2021-11-09,0.674653411695668
2021-11-10,0.6846373979040634
2021-11-11,0.6717030678167144
2021-11-12,0.6713045591651695
2021-11-15,0.6710920538585066
2021-11-16,0.6710476844814136
2021-11-17,0.6600938278644248
2021-11-18,0.6607700620587869
2021-11-19,0.6536049374027969
2021-11-22,0.6615335792679137
2021-11-23,0.6611576305232987
2021-11-24,0.6620333125641761
2021-11-26,0.6420935011463453
2021-11-29,0.6446353827273058
2021-11-30,0.6366019687481812
2021-12-01,0.6351316440258087
2021-12-02,0.6217907027443103
2021-12-03,0.6224869936877252
2021-12-06,0.6165747121034572
2021-12-07,0.6257079108975824
2021-12-08,0.6231183314985229
2021-12-09,0.6261218962367081
2021-12-10,0.627138225316808
2021-12-13,0.6253614812803687
2021-12-14,0.6270741275452709
2021-12-15,0.630768461355308
2021-12-16,0.6444119352111788
2021-12-17,0.6469530284633842
2021-12-20,0.6497876520430028
2021-12-21,0.6526147252991172
2021-12-22,0.6556752902225988
2021-12-23,0.6560792720682175
